Loan_ID,Married,Dependents,Gender,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,No,0.0,Male,Graduate,No,5849,0.0,146.41,360.0,1.0,Urban,Y
LP001003,Yes,1.0,Male,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N
LP001005,Yes,0.0,Male,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y
LP001006,Yes,0.0,Male,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y
LP001008,No,0.0,Male,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y
LP001011,Yes,2.0,Male,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y
LP001013,Yes,0.0,Male,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y
LP001014,Yes,3.0,Male,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N
LP001018,Yes,2.0,Male,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y
LP001020,Yes,1.0,Male,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N
LP001024,Yes,2.0,Male,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y
LP001027,Yes,2.0,Male,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y
LP001028,Yes,2.0,Male,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y
LP001029,No,0.0,Male,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N
LP001030,Yes,2.0,Male,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y
LP001032,No,0.0,Male,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y
LP001034,No,1.0,Male,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y
LP001036,No,0.0,Female,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N
LP001038,Yes,0.0,Male,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N
LP001041,Yes,0.0,Male,Graduate,No,2600,3500.0,115.0,342.0,1.0,Urban,Y
LP001043,Yes,0.0,Male,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N
LP001046,Yes,1.0,Male,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y
LP001047,Yes,0.0,Male,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N
LP001050,Yes,2.0,Male,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N
LP001052,Yes,1.0,Male,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N
LP001066,Yes,0.0,Male,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y
LP001068,Yes,0.0,Male,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y
LP001073,Yes,2.0,Male,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y
LP001086,No,0.0,Male,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N
LP001087,No,2.0,Female,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y
LP001091,Yes,1.0,Male,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N
LP001095,No,0.0,Male,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N
LP001097,No,1.0,Male,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N
LP001098,Yes,0.0,Male,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y
LP001100,No,3.0,Male,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N
LP001106,Yes,0.0,Male,Graduate,No,2275,2067.0,146.41,360.0,1.0,Urban,Y
LP001109,Yes,0.0,Male,Graduate,No,1828,1330.0,100.0,342.0,0.0,Urban,N
LP001112,Yes,0.0,Female,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y
LP001114,No,0.0,Male,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y
LP001116,No,0.0,Male,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y
LP001119,No,0.0,Male,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N
LP001120,No,0.0,Male,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y
LP001123,Yes,0.0,Male,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y
LP001131,Yes,0.0,Male,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y
LP001136,Yes,0.0,Male,Not Graduate,Yes,4695,0.0,96.0,342.0,1.0,Urban,Y
LP001137,No,0.0,Female,Graduate,No,3410,0.0,88.0,342.0,1.0,Urban,Y
LP001138,Yes,1.0,Male,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y
LP001144,Yes,0.0,Male,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y
LP001146,Yes,0.0,Female,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N
LP001151,No,0.0,Female,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y
LP001155,Yes,0.0,Female,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y
LP001157,No,0.0,Female,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y
LP001164,No,0.0,Female,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N
LP001179,Yes,2.0,Male,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N
LP001186,Yes,1.0,Female,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N
LP001194,Yes,2.0,Male,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y
LP001195,Yes,0.0,Male,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y
LP001197,Yes,0.0,Male,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N
LP001198,Yes,1.0,Male,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y
LP001199,Yes,2.0,Male,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y
LP001205,Yes,0.0,Male,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y
LP001206,Yes,3.0,Male,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y
LP001207,Yes,0.0,Male,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N
LP001213,Yes,1.0,Male,Graduate,No,4945,0.0,146.41,360.0,0.0,Rural,N
LP001222,No,0.0,Female,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N
LP001225,Yes,0.0,Male,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N
LP001228,No,0.0,Male,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N
LP001233,Yes,1.0,Male,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y
LP001238,Yes,3.0,Male,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y
LP001241,No,0.0,Female,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N
LP001243,Yes,0.0,Male,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y
LP001245,Yes,2.0,Male,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y
LP001248,No,0.0,Male,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y
LP001250,Yes,3.0,Male,Not Graduate,No,4755,0.0,95.0,342.0,0.0,Semiurban,N
LP001253,Yes,3.0,Male,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y
LP001255,No,0.0,Male,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N
LP001256,No,0.0,Male,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N
LP001259,Yes,1.0,Male,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N
LP001263,Yes,3.0,Male,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N
LP001264,Yes,3.0,Male,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,Y
LP001265,No,0.0,Female,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y
LP001266,Yes,1.0,Male,Graduate,Yes,2395,0.0,146.41,360.0,1.0,Semiurban,Y
LP001267,Yes,2.0,Female,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N
LP001273,Yes,0.0,Male,Graduate,No,6000,2250.0,265.0,360.0,1.0,Semiurban,N
LP001275,Yes,1.0,Male,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y
LP001279,No,0.0,Male,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y
LP001280,Yes,2.0,Male,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,Y
LP001282,Yes,0.0,Male,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y
LP001289,No,0.0,Male,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y
LP001310,Yes,0.0,Male,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y
LP001316,Yes,0.0,Male,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y
LP001318,Yes,2.0,Male,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y
LP001319,Yes,2.0,Male,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y
LP001322,No,0.0,Male,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y
LP001325,No,0.0,Male,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y
LP001326,No,0.0,Male,Graduate,No,6782,0.0,146.41,360.0,1.0,Urban,N
LP001327,Yes,0.0,Female,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y
LP001333,Yes,0.0,Male,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y
LP001334,Yes,0.0,Male,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y
LP001343,Yes,0.0,Male,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y
LP001345,Yes,2.0,Male,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y
LP001349,No,0.0,Male,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y
LP001350,Yes,0.76,Male,Graduate,No,13650,0.0,146.41,360.0,1.0,Urban,Y
LP001356,Yes,0.0,Male,Graduate,No,4652,3583.0,146.41,360.0,1.0,Semiurban,Y
LP001357,Yes,0.76,Male,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y
LP001367,Yes,1.0,Male,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y
LP001369,Yes,2.0,Male,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y
LP001370,No,0.0,Male,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,N
LP001379,Yes,2.0,Male,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N
LP001384,Yes,3.0,Male,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y
LP001385,No,0.0,Male,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y
LP001387,Yes,0.0,Female,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,Y
LP001391,Yes,0.0,Male,Not Graduate,No,3572,4114.0,152.0,342.0,0.0,Rural,N
LP001392,No,1.0,Female,Graduate,Yes,7451,0.0,146.41,360.0,1.0,Semiurban,Y
LP001398,No,0.0,Male,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,Y
LP001401,Yes,1.0,Male,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y
LP001404,Yes,0.0,Female,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y
LP001405,Yes,1.0,Male,Graduate,No,2214,1398.0,85.0,360.0,1.0,Urban,Y
LP001421,Yes,0.0,Male,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N
LP001422,No,0.0,Female,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y
LP001426,Yes,0.76,Male,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y
LP001430,No,0.0,Female,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y
LP001431,No,0.0,Female,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y
LP001432,Yes,2.0,Male,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y
LP001439,Yes,0.0,Male,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y
LP001443,No,0.0,Female,Graduate,No,3692,0.0,93.0,360.0,1.0,Rural,Y
LP001448,Yes,3.0,Male,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y
LP001449,No,0.0,Male,Graduate,No,3865,1640.0,146.41,360.0,1.0,Rural,Y
LP001451,Yes,1.0,Male,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N
LP001465,Yes,0.0,Male,Graduate,No,6080,2569.0,182.0,360.0,1.0,Rural,N
LP001469,No,0.0,Male,Graduate,Yes,20166,0.0,650.0,480.0,1.0,Urban,Y
LP001473,No,0.0,Male,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y
LP001478,No,0.0,Male,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y
LP001482,Yes,0.0,Male,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y
LP001487,No,0.0,Male,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y
LP001488,Yes,3.0,Male,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N
LP001489,Yes,0.0,Female,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N
LP001491,Yes,2.0,Male,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y
LP001492,No,0.0,Male,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N
LP001493,Yes,2.0,Male,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N
LP001497,Yes,2.0,Male,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N
LP001498,No,0.0,Male,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y
LP001504,No,0.0,Male,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y
LP001507,Yes,0.0,Male,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y
LP001508,Yes,2.0,Male,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y
LP001514,Yes,0.0,Female,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y
LP001516,Yes,2.0,Female,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y
LP001518,Yes,1.0,Male,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y
LP001519,No,0.0,Female,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N
LP001520,Yes,0.0,Male,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,Y
LP001528,No,0.0,Male,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N
LP001529,Yes,0.0,Male,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y
LP001531,No,0.0,Male,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,N
LP001532,Yes,2.0,Male,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,N
LP001535,No,0.0,Male,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,Y
LP001536,Yes,3.0,Male,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,Y
LP001541,Yes,1.0,Male,Graduate,No,6000,0.0,160.0,360.0,1.0,Rural,Y
LP001543,Yes,1.0,Male,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,Y
LP001546,No,0.0,Male,Graduate,No,2980,2083.0,120.0,360.0,1.0,Rural,Y
LP001552,Yes,0.0,Male,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,Y
LP001560,Yes,0.0,Male,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,Y
LP001562,Yes,0.0,Male,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,N
LP001565,Yes,1.0,Male,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,N
LP001570,Yes,2.0,Male,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y
LP001572,Yes,0.0,Male,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,Y
LP001574,Yes,0.0,Male,Graduate,No,3707,3166.0,182.0,342.0,1.0,Rural,Y
LP001577,Yes,0.0,Female,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,N
LP001578,Yes,0.0,Male,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,Y
LP001579,No,0.0,Male,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,N
LP001580,Yes,2.0,Male,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,Y
LP001581,Yes,0.0,Male,Not Graduate,No,1820,1769.0,95.0,360.0,1.0,Rural,Y
LP001585,Yes,3.0,Male,Graduate,No,51763,0.0,700.0,300.0,1.0,Urban,Y
LP001586,Yes,3.0,Male,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,N
LP001594,Yes,0.0,Male,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,Y
LP001603,Yes,0.0,Male,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,N
LP001606,Yes,0.0,Male,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,Y
LP001608,Yes,2.0,Male,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y
LP001610,Yes,3.0,Male,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,N
LP001616,Yes,1.0,Male,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,Y
LP001630,No,0.0,Male,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,N
LP001633,Yes,1.0,Male,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,N
LP001634,No,0.0,Male,Graduate,No,1916,5063.0,67.0,360.0,1.0,Rural,N
LP001636,Yes,0.0,Male,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,Y
LP001637,Yes,1.0,Male,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,N
LP001639,Yes,0.0,Female,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,Y
LP001640,Yes,0.0,Male,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,Y
LP001641,Yes,1.0,Male,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,N
LP001643,Yes,0.0,Male,Graduate,No,2383,2138.0,58.0,360.0,1.0,Rural,Y
LP001644,Yes,0.0,Male,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y
LP001647,Yes,0.0,Male,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,Y
LP001653,No,0.0,Male,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,Y
LP001656,No,0.0,Male,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,N
LP001657,Yes,0.0,Male,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,N
LP001658,No,0.0,Male,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,Y
LP001664,No,0.0,Male,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y
LP001665,Yes,1.0,Male,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,N
LP001666,No,0.0,Male,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y
LP001669,No,0.0,Female,Not Graduate,No,1907,2365.0,120.0,342.0,1.0,Urban,Y
LP001671,Yes,0.0,Female,Graduate,No,3416,2816.0,113.0,360.0,1.0,Semiurban,Y
LP001673,No,0.0,Male,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,N
LP001674,Yes,1.0,Male,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,Y
LP001677,No,2.0,Male,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,Y
LP001682,Yes,3.0,Male,Not Graduate,No,3992,0.0,146.41,180.0,1.0,Urban,N
